freq,p_adj,unit,product,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NI,I15,202100,SI	100.00 	100.18 	100.65 	102.05 	104.52 	106.27 	105.38 	130.21 	: 
A,NI,I15,202100,SK	100.00 	93.75 	94.97 	111.48 	119.80 	129.68 	138.70 	275.50 	: 
A,NI,I15,202100,UK	100.00 	99.79 	106.48 	115.68 	124.08 	: 	: 	: 	: 
A,NI,I15,202200,AT	100.00 	86.30 	96.70 	113.00 	111.30 	85.80 	105.10 	199.70 	: 
A,NI,I15,202200,BE	100.00 	95.02 	124.73 	149.14 	150.46 	107.29 	159.14 	232.23 	197.38 e
A,NI,I15,202200,BG	100.00 	86.10 	92.50 	102.30 	103.70 	107.50 	119.70 	151.30 	: 
A,NI,I15,202200,CY	100.00 	83.65 	94.34 	105.06 	98.15 	81.32 	95.63 	156.88 	: 
A,NI,I15,202200,CZ	100.00 	97.80 	101.10 	105.10 	106.40 	104.60 	113.10 	146.70 	: 
A,NI,I15,202200,DE	100.00 	90.00 	95.40 	103.70 	108.90 	98.90 	107.10 	169.60 	: 
A,NI,I15,202200,DK	100.00 	91.38 	102.83 	122.84 	128.83 	110.15 	135.58 	205.14 	: 
A,NI,I15,202200,EE	100.00 	95.93 	101.44 	108.21 	111.70 	103.81 	116.19 	198.58 	: 
A,NI,I15,202200,EL	100.00 	85.52 	106.10 	115.87 	118.52 	93.09 	111.68 	162.05 	: 
A,NI,I15,202200,EU27_2020	100.00 	86.98 	96.66 	110.28 	104.57 p	89.02 p	132.43 	289.80 	: 
A,NI,I15,202200,EU28	100.00 	87.48 	96.86 	110.14 	104.91 p	: 	: 	: 	: 
A,NI,I15,202200,FI	100.00 	87.57 	100.11 	113.49 	112.51 	88.28 	115.50 	192.14 	: 
A,NI,I15,202200,FR	100.00 	90.55 	100.69 	119.25 	118.59 	112.06 	124.52 	160.57 	: 
A,NI,I15,202200,HR	: c	: c	: c	: c	: c	: c	: c	: c	: 
A,NI,I15,202200,HU	100.00 	99.20 	99.70 	100.60 	101.60 	101.70 	113.80 	233.50 	: 
A,NI,I15,202200,IT	100.00 	96.90 	103.00 	106.30 	103.30 	96.70 	107.40 	146.70 	: 
A,NI,I15,202200,LT	100.00 	84.84 	96.96 	107.44 	108.35 	68.46 	92.36 	249.07 	: 
A,NI,I15,202200,LU	100.00 	84.86 	98.94 	118.24 	115.33 	80.80 	121.86 	217.62 	: 
A,NI,I15,202200,LV	100.00 	89.98 	94.42 	104.32 	107.30 	94.90 	85.12 	239.56 	: 
A,NI,I15,202200,NL	100.00 	72.10 	85.10 	104.60 	78.80 	53.10 	165.90 	526.90 	: 
A,NI,I15,202200,PL	100.00 	97.79 	103.04 	112.72 	113.23 	110.68 	125.82 p	238.72 	: 
A,NI,I15,202200,PT	100.00 	93.48 	104.43 	114.51 	117.92 	113.60 	126.51 	169.92 	: 
A,NI,I15,202200,RO	100.00 	96.80 	98.43 	106.30 	110.79 	103.63 	123.64 	207.06 	: 
A,NI,I15,202200,SE	100.00 	92.70 	100.60 	114.50 	118.10 	102.60 	118.40 	169.58 	: 
A,NI,I15,202200,SI	100.00 	86.14 	97.94 	113.60 	115.45 	97.83 	116.76 	155.64 	: 
A,NI,I15,202200,SK	100.00 	94.27 	95.82 	107.78 	109.00 	105.53 	104.45 	166.93 	: 
A,NI,I15,202200,UK	100.00 	97.05 	100.70 	107.53 	111.61 	: 	: 	: 	: 
A,NI,I15,202300,AT	100.00 	92.30 	98.80 	108.70 	107.10 	93.50 	109.80 	160.10 	: 
A,NI,I15,202300,BE	100.00 	84.20 	101.74 	121.45 	120.55 	83.09 	110.57 	183.11 	149.15 e
A,NI,I15,202300,BG	100.00 	89.60 	95.10 	102.50 	101.50 	88.40 	102.30 	133.80 	: 
A,NI,I15,202300,CY	100.00 	85.51 	94.88 	106.41 	106.15 	85.98 	100.73 	185.87 	: 
A,NI,I15,202300,CZ	100.00 	90.40 	96.80 	103.20 	103.00 	91.10 	103.40 	138.70 	: 
A,NI,I15,202300,DE	100.00 	90.20 	99.50 	109.80 	108.60 	96.40 	117.70 	171.10 	: 
A,NI,I15,202300,DK	100.00 	94.79 	107.69 	126.76 	133.00 	118.66 	138.93 	211.18 	: 
A,NI,I15,202300,EE	100.00 	95.72 	109.75 	122.27 	122.96 	101.07 	115.43 	167.12 	: 
A,NI,I15,202300,EL	100.00 	91.07 	106.34 	117.53 	117.50 	100.47 	116.76 	154.74 	: 
A,NI,I15,202300,ES	100.00 	86.80 	95.20 	110.10 	115.30 	92.80 	111.30 	187.00 	: 
A,NI,I15,202300,EU27_2020	100.00 	90.54 	99.01 	111.96 	112.27 p	95.30 p	115.40 	166.13 	: 
A,NI,I15,202300,EU28	100.00 	90.74 	99.68 	112.71 	113.16 p	: 	: 	: 	: 
A,NI,I15,202300,FI	100.00 	90.44 	102.26 	117.65 	117.24 	93.20 	120.21 	189.89 	: 
A,NI,I15,202300,FR	100.00 	87.83 	102.26 	122.20 	120.09 	93.21 	121.09 	190.97 	: 
A,NI,I15,202300,HR	: c	: c	: c	: c	: c	: c	: c	: c	: 
A,NI,I15,202300,HU	100.00 	91.30 	98.80 	109.40 	110.30 	102.00 	123.80 	156.60 	: 
A,NI,I15,202300,IE	100.00 	90.08 	98.26 	108.02 	106.90 	95.23 	111.15 	160.32 	: 
A,NI,I15,202300,IT	100.00 	87.70 	96.50 	109.60 	111.90 	93.70 	111.30 	165.70 	: 
